fname,pre,label,tr/ts,cv
0_0.png,0,0,tr,2
0_1.png,0,1,tr,2
0_10.png,0,0,tr,2
0_11.png,0,1,tr,2
0_12.png,0,0,tr,2
0_13.png,0,1,tr,2
0_2.png,0,0,tr,2
0_3.png,0,1,tr,2
0_4.png,0,0,tr,2
0_5.png,0,1,tr,2
0_6.png,0,0,tr,2
0_7.png,0,1,tr,2
0_8.png,0,0,tr,2
0_9.png,0,1,tr,2
100_0.png,100,0,tr,3
100_1.png,100,1,tr,3
100_2.png,100,0,tr,3
100_3.png,100,1,tr,3
100_4.png,100,0,tr,3
100_5.png,100,1,tr,3
100_6.png,100,0,tr,3
100_7.png,100,1,tr,3
100_8.png,100,0,tr,3
100_9.png,100,1,tr,3
101_0.png,101,0,tr,2
101_1.png,101,1,tr,2
101_10.png,101,0,tr,2
101_11.png,101,1,tr,2
101_12.png,101,0,tr,2
101_13.png,101,1,tr,2
101_14.png,101,0,tr,2
101_15.png,101,1,tr,2
101_2.png,101,0,tr,2
101_3.png,101,1,tr,2
101_4.png,101,0,tr,2
101_5.png,101,1,tr,2
101_6.png,101,0,tr,2
101_7.png,101,1,tr,2
101_8.png,101,0,tr,2
101_9.png,101,1,tr,2
102_0.png,102,0,tr,1
102_1.png,102,1,tr,1
102_2.png,102,0,tr,1
102_3.png,102,1,tr,1
102_4.png,102,0,tr,1
102_5.png,102,1,tr,1
102_6.png,102,0,tr,1
102_7.png,102,1,tr,1
102_8.png,102,0,tr,1
102_9.png,102,1,tr,1
103_0.png,103,0,tr,0
103_1.png,103,1,tr,0
103_10.png,103,0,tr,0
103_11.png,103,1,tr,0
103_2.png,103,0,tr,0
103_3.png,103,1,tr,0
103_4.png,103,0,tr,0
103_5.png,103,1,tr,0
103_6.png,103,0,tr,0
103_7.png,103,1,tr,0
103_8.png,103,0,tr,0
103_9.png,103,1,tr,0
104_0.png,104,0,ts,test
104_1.png,104,1,ts,test
104_10.png,104,0,ts,test
104_11.png,104,1,ts,test
104_2.png,104,0,ts,test
104_3.png,104,1,ts,test
104_4.png,104,0,ts,test
104_5.png,104,1,ts,test
104_6.png,104,0,ts,test
104_7.png,104,1,ts,test
104_8.png,104,0,ts,test
104_9.png,104,1,ts,test
105_0.png,105,0,tr,2
105_1.png,105,1,tr,2
105_10.png,105,0,tr,2
105_11.png,105,1,tr,2
105_12.png,105,0,tr,2
105_13.png,105,1,tr,2
105_14.png,105,0,tr,2
105_15.png,105,1,tr,2
105_16.png,105,0,tr,2
105_17.png,105,1,tr,2
105_4.png,105,0,tr,2
105_5.png,105,1,tr,2
105_6.png,105,0,tr,2
105_7.png,105,1,tr,2
105_8.png,105,0,tr,2
105_9.png,105,1,tr,2
106_0.png,106,0,ts,0
106_1.png,106,1,ts,0
106_10.png,106,0,ts,0
106_11.png,106,1,ts,0
106_2.png,106,0,ts,0
106_3.png,106,1,ts,0
106_4.png,106,0,ts,0
106_5.png,106,1,ts,0
106_6.png,106,0,ts,0
106_7.png,106,1,ts,0
106_8.png,106,0,ts,0
106_9.png,106,1,ts,0
107_0.png,107,0,ts,test
107_1.png,107,1,ts,test
107_10.png,107,0,ts,test
107_11.png,107,1,ts,test
107_12.png,107,0,ts,test
107_13.png,107,1,ts,test
107_14.png,107,0,ts,test
107_15.png,107,1,ts,test
107_16.png,107,0,ts,test
107_17.png,107,1,ts,test
107_2.png,107,0,ts,test
107_3.png,107,1,ts,test
107_4.png,107,0,ts,test
107_5.png,107,1,ts,test
107_6.png,107,0,ts,test
107_7.png,107,1,ts,test
107_8.png,107,0,ts,test
107_9.png,107,1,ts,test
108_10.png,108,0,tr,4
108_11.png,108,1,tr,4
108_12.png,108,0,tr,4
108_13.png,108,1,tr,4
108_14.png,108,0,tr,4
108_15.png,108,1,tr,4
108_2.png,108,0,tr,4
108_3.png,108,1,tr,4
108_4.png,108,0,tr,4
108_5.png,108,1,tr,4
108_6.png,108,0,tr,4
108_7.png,108,1,tr,4
108_8.png,108,0,tr,4
108_9.png,108,1,tr,4
109_0.png,109,0,tr,2
109_1.png,109,1,tr,2
109_10.png,109,0,tr,2
109_11.png,109,1,tr,2
109_12.png,109,0,tr,2
109_13.png,109,1,tr,2
109_2.png,109,0,tr,2
109_3.png,109,1,tr,2
109_6.png,109,0,tr,2
109_7.png,109,1,tr,2
109_8.png,109,0,tr,2
109_9.png,109,1,tr,2
110_0.png,110,0,tr,3
110_1.png,110,1,tr,3
110_10.png,110,0,tr,3
110_11.png,110,1,tr,3
110_2.png,110,0,tr,3
110_3.png,110,1,tr,3
110_4.png,110,0,tr,3
110_5.png,110,1,tr,3
110_6.png,110,0,tr,3
110_7.png,110,1,tr,3
110_8.png,110,0,tr,3
110_9.png,110,1,tr,3
111_0.png,111,0,ts,test
111_1.png,111,1,ts,test
111_10.png,111,0,ts,test
111_11.png,111,1,ts,test
111_2.png,111,0,ts,test
111_3.png,111,1,ts,test
111_4.png,111,0,ts,test
111_5.png,111,1,ts,test
111_6.png,111,0,ts,test
111_7.png,111,1,ts,test
111_8.png,111,0,ts,test
111_9.png,111,1,ts,test
112_0.png,112,0,tr,1
112_1.png,112,1,tr,1
112_10.png,112,0,tr,1
112_11.png,112,1,tr,1
112_12.png,112,0,tr,1
112_13.png,112,1,tr,1
112_14.png,112,0,tr,1
112_15.png,112,1,tr,1
112_2.png,112,0,tr,1
112_3.png,112,1,tr,1
112_4.png,112,0,tr,1
112_5.png,112,1,tr,1
112_6.png,112,0,tr,1
112_7.png,112,1,tr,1
112_8.png,112,0,tr,1
112_9.png,112,1,tr,1
113_0.png,113,0,tr,1
113_1.png,113,1,tr,1
113_10.png,113,0,tr,1
113_11.png,113,1,tr,1
113_12.png,113,0,tr,1
113_13.png,113,1,tr,1
113_2.png,113,0,tr,1
113_3.png,113,1,tr,1
113_4.png,113,0,tr,1
113_5.png,113,1,tr,1
113_6.png,113,0,tr,1
113_7.png,113,1,tr,1
113_8.png,113,0,tr,1
113_9.png,113,1,tr,1
114_0.png,114,0,ts,0
114_1.png,114,1,ts,0
114_10.png,114,0,ts,0
114_11.png,114,1,ts,0
114_12.png,114,0,ts,0
114_13.png,114,1,ts,0
114_2.png,114,0,ts,0
114_3.png,114,1,ts,0
114_4.png,114,0,ts,0
114_5.png,114,1,ts,0
114_6.png,114,0,ts,0
114_7.png,114,1,ts,0
114_8.png,114,0,ts,0
114_9.png,114,1,ts,0
115_0.png,115,0,tr,0
115_1.png,115,1,tr,0
115_10.png,115,0,tr,0
115_11.png,115,1,tr,0
115_12.png,115,0,tr,0
115_13.png,115,1,tr,0
115_14.png,115,0,tr,0
115_15.png,115,1,tr,0
115_2.png,115,0,tr,0
115_3.png,115,1,tr,0
115_4.png,115,0,tr,0
115_5.png,115,1,tr,0
115_6.png,115,0,tr,0
115_7.png,115,1,tr,0
116_0.png,116,0,tr,3
116_1.png,116,1,tr,3
116_10.png,116,0,tr,3
116_11.png,116,1,tr,3
116_2.png,116,0,tr,3
116_3.png,116,1,tr,3
116_4.png,116,0,tr,3
116_5.png,116,1,tr,3
116_6.png,116,0,tr,3
116_7.png,116,1,tr,3
116_8.png,116,0,tr,3
116_9.png,116,1,tr,3
117_0.png,117,0,ts,0
117_1.png,117,1,ts,0
117_10.png,117,0,ts,0
117_11.png,117,1,ts,0
117_12.png,117,0,ts,0
117_13.png,117,1,ts,0
117_14.png,117,0,ts,0
117_15.png,117,1,ts,0
117_2.png,117,0,ts,0
117_3.png,117,1,ts,0
117_4.png,117,0,ts,0
117_5.png,117,1,ts,0
117_6.png,117,0,ts,0
117_7.png,117,1,ts,0
117_8.png,117,0,ts,0
117_9.png,117,1,ts,0
118_0.png,118,0,tr,1
118_1.png,118,1,tr,1
118_10.png,118,0,tr,1
118_11.png,118,1,tr,1
118_12.png,118,0,tr,1
118_13.png,118,1,tr,1
118_14.png,118,0,tr,1
118_15.png,118,1,tr,1
118_2.png,118,0,tr,1
118_3.png,118,1,tr,1
118_4.png,118,0,tr,1
118_5.png,118,1,tr,1
118_8.png,118,0,tr,1
118_9.png,118,1,tr,1
119_0.png,119,0,tr,1
119_1.png,119,1,tr,1
119_10.png,119,0,tr,1
119_11.png,119,1,tr,1
119_2.png,119,0,tr,1
119_3.png,119,1,tr,1
119_4.png,119,0,tr,1
119_5.png,119,1,tr,1
